Libelle;Date et heure de comptage;Débit horaire;Taux d'occupation;Etat trafic;Etat arc_Barré;Etat arc_Invalide
AV_Champs_Elysees;2022-12-02 18:00:00;1090.0;25.21389;2;0;1
AV_Champs_Elysees;2022-12-02 17:00:00;1097.0;31.49722;3;0;1
AV_Champs_Elysees;2022-05-02 23:00:00;951.0;22.48333;2;0;1
AV_Champs_Elysees;2022-02-08 22:00:00;711.0;11.05389;1;0;1
AV_Champs_Elysees;2022-02-08 16:00:00;976.0;19.21278;2;0;1
AV_Champs_Elysees;2022-02-08 12:00:00;1112.0;19.46;2;0;1
AV_Champs_Elysees;2022-02-08 10:00:00;1192.0;14.10444;1;0;1
AV_Champs_Elysees;2022-02-08 09:00:00;1138.0;12.84;1;0;1
AV_Champs_Elysees;2022-02-08 06:00:00;307.0;3.17111;1;0;1
AV_Champs_Elysees;2022-02-08 05:00:00;171.0;2.07556;1;0;1
AV_Champs_Elysees;2022-02-08 02:00:00;327.0;4.245;1;0;1
AV_Champs_Elysees;2022-05-02 12:00:00;1015.0;42.67611;3;0;1
AV_Champs_Elysees;2022-05-02 13:00:00;1059.0;46.51722;3;0;1
AV_Champs_Elysees;2022-11-09 00:00:00;1070.4615384615386;44.64226307692308;0;0;1
AV_Champs_Elysees;2022-11-08 22:00:00;1081.923076923077;42.76730615384616;0;0;1
AV_Champs_Elysees;2022-11-08 21:00:00;1093.3846153846155;40.892349230769234;0;0;1
AV_Champs_Elysees;2022-11-08 19:00:00;1104.8461538461538;39.017392307692305;0;0;1
AV_Champs_Elysees;2022-11-08 18:00:00;1116.3076923076924;37.14243538461538;0;0;1
AV_Champs_Elysees;2022-08-05 00:00:00;1127.7692307692307;35.26747846153846;0;0;1
AV_Champs_Elysees;2022-08-04 23:00:00;1139.2307692307693;33.39252153846154;0;0;1
AV_Champs_Elysees;2022-08-04 19:00:00;1150.6923076923076;31.517564615384615;0;0;1
AV_Champs_Elysees;2022-08-04 18:00:00;1162.1538461538462;29.642607692307692;0;0;1
AV_Champs_Elysees;2022-08-04 17:00:00;1173.6153846153845;27.76765076923077;0;0;1
AV_Champs_Elysees;2022-08-04 16:00:00;1185.076923076923;25.892693846153843;0;0;1
AV_Champs_Elysees;2022-08-04 15:00:00;1196.5384615384614;24.01773692307692;0;0;1
AV_Champs_Elysees;2022-12-02 10:00:00;1208.0;22.14278;2;0;1
AV_Champs_Elysees;2022-12-02 08:00:00;972.0;12.445;1;0;1
AV_Champs_Elysees;2022-12-02 07:00:00;730.0;9.75889;1;0;1
AV_Champs_Elysees;2022-12-02 02:00:00;864.0;13.96722;1;0;1
AV_Champs_Elysees;2022-07-21 14:00:00;945.0;47.68389;3;0;1
AV_Champs_Elysees;2022-07-21 12:00:00;980.0;44.74056;3;0;1
AV_Champs_Elysees;2022-07-21 10:00:00;1090.0;26.03111;2;0;1
AV_Champs_Elysees;2022-07-21 09:00:00;1123.0;28.69667;2;0;1
AV_Champs_Elysees;2022-07-21 07:00:00;555.0;6.74945;1;0;1
AV_Champs_Elysees;2022-07-21 06:00:00;339.0;3.95;1;0;1
AV_Champs_Elysees;2022-07-21 04:00:00;354.0;4.805;1;0;1
AV_Champs_Elysees;2022-07-21 03:00:00;495.0;6.35667;1;0;1
AV_Champs_Elysees;2022-07-21 02:00:00;612.0;8.22444;1;0;1
AV_Champs_Elysees;2022-09-09 00:00:00;789.0;12.13666;1;0;1
AV_Champs_Elysees;2022-09-08 23:00:00;846.0;14.37778;1;0;1
AV_Champs_Elysees;2022-09-08 22:00:00;911.0;16.74778;2;0;1
AV_Champs_Elysees;2022-09-08 20:00:00;1238.0;24.38556;2;0;1
AV_Champs_Elysees;2022-09-08 18:00:00;1185.0;20.26611;2;0;1
AV_Champs_Elysees;2022-09-08 16:00:00;1126.0;25.38833;2;0;1
AV_Champs_Elysees;2022-09-08 15:00:00;1167.0;26.56333;2;0;1
AV_Champs_Elysees;2022-09-08 14:00:00;1241.0;30.49556;3;0;1
AV_Champs_Elysees;2022-08-03 14:00:00;1054.3333333333333;26.415743333333335;0;0;1
AV_Champs_Elysees;2022-08-03 15:00:00;867.6666666666667;22.335926666666666;0;0;1
AV_Champs_Elysees;2021-12-15 23:00:00;681.0;18.25611;2;0;1
AV_Champs_Elysees;2021-12-15 21:00:00;1066.0;29.46556;2;0;1
AV_Champs_Elysees;2021-12-15 19:00:00;996.0;43.03334;3;0;1
AV_Champs_Elysees;2021-12-15 18:00:00;1231.0;27.87;2;0;1
AV_Champs_Elysees;2021-12-15 15:00:00;1211.0;30.95944;3;0;1
AV_Champs_Elysees;2021-12-15 14:00:00;1092.0;31.00167;3;0;1
AV_Champs_Elysees;2021-12-15 13:00:00;1206.0;31.52222;3;0;1
AV_Champs_Elysees;2021-12-15 09:00:00;1287.0;15.09611;2;0;1
AV_Champs_Elysees;2021-12-15 08:00:00;1092.0;12.045;1;0;1
AV_Champs_Elysees;2021-12-15 07:00:00;720.0;7.73556;1;0;1
AV_Champs_Elysees;2021-12-15 05:00:00;214.0;2.61278;1;0;1
AV_Champs_Elysees;2021-12-15 04:00:00;198.0;2.56944;1;0;1
AV_Champs_Elysees;2021-12-15 03:00:00;402.0;4.77611;1;0;1
AV_Champs_Elysees;2021-12-15 02:00:00;491.0;6.73444;1;0;1
AV_Champs_Elysees;2022-04-09 00:00:00;834.0;16.85667;2;0;1
AV_Champs_Elysees;2022-04-08 22:00:00;610.0;8.68889;1;0;1
AV_Champs_Elysees;2022-04-08 20:00:00;1058.0;15.32889;2;0;1
AV_Champs_Elysees;2022-04-08 19:00:00;1084.0;17.62222;2;0;1
AV_Champs_Elysees;2022-04-08 17:00:00;1073.0;15.94222;2;0;1
AV_Champs_Elysees;2022-04-08 13:00:00;1180.0;18.90778;2;0;1
