,Libelle,Date et heure de comptage,Débit horaire,Taux d'occupation,Etat trafic,Etat arc_Barré,Etat arc_Invalide,Date,Jour férié,Jour de la semaine_0,Jour de la semaine_1,Jour de la semaine_2,Jour de la semaine_3,Jour de la semaine_4,Jour de la semaine_5,Jour de la semaine_6,Jour de la semaine_0,Jour de la semaine_1,Jour de la semaine_2,Jour de la semaine_3,Jour de la semaine_4,Jour de la semaine_5,Jour de la semaine_6
37,AV_Champs_Elysees,2022-01-01 10:00:00,303.0,6.14278,1,0,1,2022-01-01,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
38,AV_Champs_Elysees,2022-01-01 06:00:00,729.0,21.58056,2,0,1,2022-01-01,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39,AV_Champs_Elysees,2022-01-01 17:00:00,1192.0,41.29833,3,0,1,2022-01-01,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
40,AV_Champs_Elysees,2022-01-01 12:00:00,793.0,12.22,1,0,1,2022-01-01,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
41,AV_Champs_Elysees,2022-01-01 05:00:00,750.0,18.90667,2,0,1,2022-01-01,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
42,AV_Champs_Elysees,2022-01-01 22:00:00,1035.0,39.7,3,0,1,2022-01-01,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
43,AV_Champs_Elysees,2022-01-01 08:00:00,262.0,3.10834,1,0,1,2022-01-01,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
44,AV_Champs_Elysees,2022-01-01 15:00:00,1173.0,33.865,3,0,1,2022-01-01,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
45,AV_Champs_Elysees,2022-01-01 20:00:00,986.0,41.79111,3,0,1,2022-01-01,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
46,AV_Champs_Elysees,2022-05-02 09:00:00,1187.0,20.96667,2,0,1,2022-05-02,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
47,AV_Champs_Elysees,2022-10-07 11:00:00,1137.0,24.00167,2,0,1,2022-10-07,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
48,AV_Champs_Elysees,2022-10-07 10:00:00,1250.0,22.27167,2,0,1,2022-10-07,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
49,AV_Champs_Elysees,2022-10-07 08:00:00,989.0,12.00222,1,0,1,2022-10-07,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
50,AV_Champs_Elysees,2022-10-07 07:00:00,683.0,7.45611,1,0,1,2022-10-07,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
51,AV_Champs_Elysees,2022-10-07 01:00:00,680.0,9.57,1,0,1,2022-10-07,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
52,AV_Champs_Elysees,2022-05-02 10:00:00,1111.0,32.15111,3,0,1,2022-05-02,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
53,AV_Champs_Elysees,2022-11-08 10:00:00,1195.5,24.803335,0,0,1,2022-11-08,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
54,AV_Champs_Elysees,2022-11-08 09:00:00,1280.0,17.45556,2,0,1,2022-11-08,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
55,AV_Champs_Elysees,2022-11-08 07:00:00,715.0,8.30389,1,0,1,2022-11-08,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
56,AV_Champs_Elysees,2022-11-08 05:00:00,181.0,2.18444,1,0,1,2022-11-08,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
57,AV_Champs_Elysees,2022-11-08 04:00:00,193.0,2.16334,1,0,1,2022-11-08,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
58,AV_Champs_Elysees,2022-11-08 02:00:00,449.0,6.0,1,0,1,2022-11-08,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
59,AV_Champs_Elysees,2022-11-08 01:00:00,560.0,6.93444,1,0,1,2022-11-08,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
60,AV_Champs_Elysees,2022-09-07 00:00:00,791.0,10.33833,1,0,1,2022-09-07,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
61,AV_Champs_Elysees,2022-09-06 23:00:00,720.0,12.47722,1,0,1,2022-09-06,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
62,AV_Champs_Elysees,2022-09-06 22:00:00,801.0,14.45167,1,0,1,2022-09-06,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
63,AV_Champs_Elysees,2022-09-06 18:00:00,1133.0,25.145,2,0,1,2022-09-06,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
64,AV_Champs_Elysees,2022-10-08 00:00:00,1028.0,17.56334,2,0,1,2022-10-08,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
65,AV_Champs_Elysees,2022-10-07 23:00:00,1002.0,17.31611,2,0,1,2022-10-07,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
66,AV_Champs_Elysees,2022-10-07 20:00:00,1237.0,23.57167,2,0,1,2022-10-07,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
67,AV_Champs_Elysees,2022-10-07 18:00:00,1153.0,25.49389,2,0,1,2022-10-07,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
68,AV_Champs_Elysees,2022-10-07 13:00:00,1098.0,19.38,2,0,1,2022-10-07,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
69,AV_Champs_Elysees,2022-12-01 23:00:00,445.0,55.33,4,0,1,2022-12-01,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
70,AV_Champs_Elysees,2022-12-01 21:00:00,552.0,79.01167,4,0,1,2022-12-01,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
71,AV_Champs_Elysees,2022-12-01 17:00:00,767.0,24.50222,2,0,1,2022-12-01,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
72,AV_Champs_Elysees,2022-05-02 22:00:00,996.0,22.76167,2,0,1,2022-05-02,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
73,AV_Champs_Elysees,2022-08-04 14:00:00,1002.0,19.90000333333333,0,0,1,2022-08-04,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
74,AV_Champs_Elysees,2022-08-04 13:00:00,1008.0,17.038336666666666,0,0,1,2022-08-04,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
75,AV_Champs_Elysees,2022-12-03 00:00:00,1014.0,14.17667,1,0,1,2022-12-03,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
76,AV_Champs_Elysees,2022-12-02 20:00:00,1112.0,25.88722,2,0,1,2022-12-02,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
77,AV_Champs_Elysees,2022-12-02 18:00:00,1090.0,25.21389,2,0,1,2022-12-02,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
78,AV_Champs_Elysees,2022-12-02 17:00:00,1097.0,31.49722,3,0,1,2022-12-02,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
79,AV_Champs_Elysees,2022-05-02 23:00:00,951.0,22.48333,2,0,1,2022-05-02,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
80,AV_Champs_Elysees,2022-02-08 22:00:00,711.0,11.05389,1,0,1,2022-02-08,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
81,AV_Champs_Elysees,2022-02-08 16:00:00,976.0,19.21278,2,0,1,2022-02-08,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
82,AV_Champs_Elysees,2022-02-08 12:00:00,1112.0,19.46,2,0,1,2022-02-08,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
83,AV_Champs_Elysees,2022-02-08 10:00:00,1192.0,14.10444,1,0,1,2022-02-08,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
84,AV_Champs_Elysees,2022-02-08 09:00:00,1138.0,12.84,1,0,1,2022-02-08,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
85,AV_Champs_Elysees,2022-02-08 06:00:00,307.0,3.17111,1,0,1,2022-02-08,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
86,AV_Champs_Elysees,2022-02-08 05:00:00,171.0,2.07556,1,0,1,2022-02-08,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
87,AV_Champs_Elysees,2022-02-08 02:00:00,327.0,4.245,1,0,1,2022-02-08,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
88,AV_Champs_Elysees,2022-05-02 12:00:00,1015.0,42.67611,3,0,1,2022-05-02,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
89,AV_Champs_Elysees,2022-05-02 13:00:00,1059.0,46.51722,3,0,1,2022-05-02,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
90,AV_Champs_Elysees,2022-11-09 00:00:00,1070.4615384615386,44.64226307692308,0,0,1,2022-11-09,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
91,AV_Champs_Elysees,2022-11-08 22:00:00,1081.923076923077,42.76730615384616,0,0,1,2022-11-08,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
92,AV_Champs_Elysees,2022-11-08 21:00:00,1093.3846153846157,40.892349230769234,0,0,1,2022-11-08,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
93,AV_Champs_Elysees,2022-11-08 19:00:00,1104.8461538461538,39.01739230769231,0,0,1,2022-11-08,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
94,AV_Champs_Elysees,2022-11-08 18:00:00,1116.3076923076924,37.14243538461538,0,0,1,2022-11-08,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
95,AV_Champs_Elysees,2022-08-05 00:00:00,1127.7692307692307,35.26747846153846,0,0,1,2022-08-05,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
96,AV_Champs_Elysees,2022-08-04 23:00:00,1139.2307692307693,33.39252153846154,0,0,1,2022-08-04,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
97,AV_Champs_Elysees,2022-08-04 19:00:00,1150.6923076923076,31.51756461538461,0,0,1,2022-08-04,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
98,AV_Champs_Elysees,2022-08-04 18:00:00,1162.1538461538462,29.64260769230769,0,0,1,2022-08-04,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
99,AV_Champs_Elysees,2022-08-04 17:00:00,1173.6153846153843,27.76765076923077,0,0,1,2022-08-04,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
100,AV_Champs_Elysees,2022-08-04 16:00:00,1185.076923076923,25.892693846153843,0,0,1,2022-08-04,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
101,AV_Champs_Elysees,2022-08-04 15:00:00,1196.5384615384614,24.01773692307692,0,0,1,2022-08-04,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
102,AV_Champs_Elysees,2022-12-02 10:00:00,1208.0,22.14278,2,0,1,2022-12-02,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
103,AV_Champs_Elysees,2022-12-02 08:00:00,972.0,12.445,1,0,1,2022-12-02,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
104,AV_Champs_Elysees,2022-12-02 07:00:00,730.0,9.75889,1,0,1,2022-12-02,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
105,AV_Champs_Elysees,2022-12-02 02:00:00,864.0,13.96722,1,0,1,2022-12-02,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
106,AV_Champs_Elysees,2022-07-21 14:00:00,945.0,47.68389,3,0,1,2022-07-21,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
107,AV_Champs_Elysees,2022-07-21 12:00:00,980.0,44.74056,3,0,1,2022-07-21,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
108,AV_Champs_Elysees,2022-07-21 10:00:00,1090.0,26.03111,2,0,1,2022-07-21,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
109,AV_Champs_Elysees,2022-07-21 09:00:00,1123.0,28.69667,2,0,1,2022-07-21,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
110,AV_Champs_Elysees,2022-07-21 07:00:00,555.0,6.74945,1,0,1,2022-07-21,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
111,AV_Champs_Elysees,2022-07-21 06:00:00,339.0,3.95,1,0,1,2022-07-21,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
112,AV_Champs_Elysees,2022-07-21 04:00:00,354.0,4.805,1,0,1,2022-07-21,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
113,AV_Champs_Elysees,2022-07-21 03:00:00,495.0,6.35667,1,0,1,2022-07-21,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
114,AV_Champs_Elysees,2022-07-21 02:00:00,612.0,8.22444,1,0,1,2022-07-21,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
115,AV_Champs_Elysees,2022-09-09 00:00:00,789.0,12.13666,1,0,1,2022-09-09,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
116,AV_Champs_Elysees,2022-09-08 23:00:00,846.0,14.37778,1,0,1,2022-09-08,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
117,AV_Champs_Elysees,2022-09-08 22:00:00,911.0,16.74778,2,0,1,2022-09-08,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
118,AV_Champs_Elysees,2022-09-08 20:00:00,1238.0,24.38556,2,0,1,2022-09-08,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
119,AV_Champs_Elysees,2022-09-08 18:00:00,1185.0,20.26611,2,0,1,2022-09-08,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
120,AV_Champs_Elysees,2022-09-08 16:00:00,1126.0,25.38833,2,0,1,2022-09-08,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
121,AV_Champs_Elysees,2022-09-08 15:00:00,1167.0,26.56333,2,0,1,2022-09-08,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
122,AV_Champs_Elysees,2022-09-08 14:00:00,1241.0,30.49556,3,0,1,2022-09-08,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
123,AV_Champs_Elysees,2022-08-03 14:00:00,1054.3333333333333,26.41574333333333,0,0,1,2022-08-03,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
124,AV_Champs_Elysees,2022-08-03 15:00:00,867.6666666666667,22.335926666666666,0,0,1,2022-08-03,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
125,AV_Champs_Elysees,2021-12-15 23:00:00,681.0,18.25611,2,0,1,2021-12-15,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
126,AV_Champs_Elysees,2021-12-15 21:00:00,1066.0,29.46556,2,0,1,2021-12-15,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
127,AV_Champs_Elysees,2021-12-15 19:00:00,996.0,43.03334,3,0,1,2021-12-15,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
128,AV_Champs_Elysees,2021-12-15 18:00:00,1231.0,27.87,2,0,1,2021-12-15,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
129,AV_Champs_Elysees,2021-12-15 15:00:00,1211.0,30.95944,3,0,1,2021-12-15,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
130,AV_Champs_Elysees,2021-12-15 14:00:00,1092.0,31.00167,3,0,1,2021-12-15,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
131,AV_Champs_Elysees,2021-12-15 13:00:00,1206.0,31.52222,3,0,1,2021-12-15,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
132,AV_Champs_Elysees,2021-12-15 09:00:00,1287.0,15.09611,2,0,1,2021-12-15,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
133,AV_Champs_Elysees,2021-12-15 08:00:00,1092.0,12.045,1,0,1,2021-12-15,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
134,AV_Champs_Elysees,2021-12-15 07:00:00,720.0,7.73556,1,0,1,2021-12-15,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
135,AV_Champs_Elysees,2021-12-15 05:00:00,214.0,2.61278,1,0,1,2021-12-15,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
136,AV_Champs_Elysees,2021-12-15 04:00:00,198.0,2.56944,1,0,1,2021-12-15,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
137,AV_Champs_Elysees,2021-12-15 03:00:00,402.0,4.77611,1,0,1,2021-12-15,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
138,AV_Champs_Elysees,2021-12-15 02:00:00,491.0,6.73444,1,0,1,2021-12-15,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
139,AV_Champs_Elysees,2022-04-09 00:00:00,834.0,16.85667,2,0,1,2022-04-09,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
140,AV_Champs_Elysees,2022-04-08 22:00:00,610.0,8.68889,1,0,1,2022-04-08,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
141,AV_Champs_Elysees,2022-04-08 20:00:00,1058.0,15.32889,2,0,1,2022-04-08,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
142,AV_Champs_Elysees,2022-04-08 19:00:00,1084.0,17.62222,2,0,1,2022-04-08,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
143,AV_Champs_Elysees,2022-04-08 17:00:00,1073.0,15.94222,2,0,1,2022-04-08,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
144,AV_Champs_Elysees,2022-04-08 13:00:00,1180.0,18.90778,2,0,1,2022-04-08,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
145,AV_Champs_Elysees,2022-04-08 10:00:00,1139.0,12.76167,1,0,1,2022-04-08,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
146,AV_Champs_Elysees,2022-04-08 09:00:00,1066.0,9.84111,1,0,1,2022-04-08,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
147,AV_Champs_Elysees,2022-04-08 07:00:00,648.0,5.82167,1,0,1,2022-04-08,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
148,AV_Champs_Elysees,2022-04-08 03:00:00,645.0,8.11667,1,0,1,2022-04-08,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
149,AV_Champs_Elysees,2022-04-08 02:00:00,729.0,10.93722,1,0,1,2022-04-08,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
150,AV_Champs_Elysees,2022-04-08 01:00:00,833.0,10.505,1,0,1,2022-04-08,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
151,AV_Champs_Elysees,2022-05-02 16:00:00,1165.0,42.27389,3,0,1,2022-05-02,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
152,AV_Champs_Elysees,2021-11-02 00:00:00,569.0,9.05111,1,0,1,2021-11-02,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
153,AV_Champs_Elysees,2021-11-01 17:00:00,1077.0,47.72444,3,0,1,2021-11-01,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
154,AV_Champs_Elysees,2021-11-01 14:00:00,1126.0,48.08667,3,0,1,2021-11-01,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
155,AV_Champs_Elysees,2021-11-01 16:00:00,1159.0,76.20889,4,0,1,2021-11-01,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
156,AV_Champs_Elysees,2021-11-01 22:00:00,882.0,21.34889,2,0,1,2021-11-01,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
157,AV_Champs_Elysees,2021-11-01 04:00:00,1222.0,42.87945,3,0,1,2021-11-01,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
